,Developer,Game Title
0,Squad,Kerbal Space Program
1,Flying Tiger Development,Kerbal Space Program
2,Thunder Lotus Games,Jotun
3,Nixxes Software,Rise of the Tomb Raider
4,Koch Media,Rise of the Tomb Raider
5,Crystal Dynamics,Rise of the Tomb Raider
6,Feral Interactive,XCOM 2
7,Firaxis Games,XCOM 2
8,Oxide Games,Ashes of the Singularity
9,Stardock,Ashes of the Singularity
10,DrinkBox Studios,Severed
11,Telltale Games,The Walking Dead: Michonne - A Telltale Miniseries
12,Skybound LLC,The Walking Dead: Michonne - A Telltale Miniseries
13,Io Interactive,Hitman
14,Mindfield Games,P.O.L.L.E.N
15,Mohawk Games,Offworld Trading Company
16,Klei Entertainment,"Invisible, Inc."
17,Naughty Dog,Uncharted 4: A Thief's End
18,Gunfire Games,Chronos
19,Gearbox Software,Battleborn
20,17 Bit,Galak-Z: The Dimensional
21,Housemarque,Alienation
22,Question,The Magic Circle
23,Bodysoft,Soft Body
24,SkyBox Labs,TASTEE: Lethal Tactics
25,Paradox Development Studio,Stellaris
26,id Software,DOOM
27,Deep Silver Dambuster Studios,Homefront: The Revolution
28,Creative Assembly,Total War: WARHAMMER
29,Pinokl Games,Party Hard
30,Heavy Spectrum,Shadow of the Beast
31,Square Enix Montreal,Hitman GO
32,Square Enix,Hitman GO
33,Blizzard Entertainment,Overwatch
34,Bethesda Game Studios,Fallout 4
35,HAL Labs,Kirby: Planet Robobot
36,PlatinumGames,Teenage Mutant Ninja Turtles: Mutants in Manhattan
37,CD Projekt Red Studio,The Witcher 3: Wild Hunt
38,CD Projekt RED S.A.,The Witcher 3: Wild Hunt
39,Counterplay Games,Duelyst
40,Vanillaware,Odin Sphere Leifthrasir
41,EA DICE,Mirror's Edge Catalyst
42,Insomniac Games,Edge of Nowhere
43,Tesseract Interactive,Excubitor
44,Kasedo Games,Excubitor
45,Frogwares,Sherlock Holmes: The Devil's Daughter
46,Haemimont,Tropico 5
47,Kalypso,Tropico 5
48,Three Fields Entertainment,Dangerous Golf
49,Paradox Interactive,Hearts of Iron IV
50,Paradox Development Studio,Hearts of Iron IV
51,Abstraction Games,Mighty No. 9
52,Inti,Mighty No. 9
53,ATLUS,Tokyo Mirage Sessions #FE
54,Puzzling Dream,The Way
