,Game Title,Platform
0,Kerbal Space Program,PC
1,Kerbal Space Program,PlayStation 4
2,Kerbal Space Program,Xbox One
3,Jotun,PC
4,Jotun,PlayStation 4
5,Jotun,Xbox One
6,Rise of the Tomb Raider,PlayStation 4
7,XCOM 2,PC
8,XCOM 2,Xbox One
9,XCOM 2,PlayStation 4
10,Ashes of the Singularity,PC
11,Severed,PlayStation Vita
12,The Walking Dead: Michonne - A Telltale Miniseries,Xbox One
13,Hitman,PlayStation 4
14,P.O.L.L.E.N,PC
15,Offworld Trading Company,PC
16,"Invisible, Inc.",PlayStation 4
17,Uncharted 4: A Thief's End,PlayStation 4
18,Chronos,PC
19,Battleborn,Xbox One
20,Battleborn,PC
21,Battleborn,PlayStation 4
22,Galak-Z: The Dimensional,PC
23,Alienation,PlayStation 4
24,The Magic Circle,PlayStation 4
25,Soft Body,PC
26,TASTEE: Lethal Tactics,PC
27,Stellaris,PC
28,DOOM,PC
29,DOOM,Xbox One
30,DOOM,PlayStation 4
31,Homefront: The Revolution,PC
32,Homefront: The Revolution,PlayStation 4
33,Homefront: The Revolution,Xbox One
34,Total War: WARHAMMER,PC
35,Party Hard,PlayStation 4
36,Shadow of the Beast,PlayStation 4
37,Hitman GO,PC
38,Overwatch,PC
39,Fallout 4,PlayStation 4
40,Fallout 4,Xbox One
41,Fallout 4,PC
42,Kirby: Planet Robobot,3DS
43,Teenage Mutant Ninja Turtles: Mutants in Manhattan,PlayStation 4
44,The Witcher 3: Wild Hunt,PC
45,Duelyst,PC
46,Odin Sphere Leifthrasir,PlayStation 4
47,Mirror's Edge Catalyst,Xbox One
48,Edge of Nowhere,PC
49,Excubitor,PC
50,Sherlock Holmes: The Devil's Daughter,PC
51,Tropico 5,Xbox One
52,Dangerous Golf,PlayStation 4
53,Hearts of Iron IV,PC
54,Mighty No. 9,PlayStation 4
55,Mighty No. 9,Xbox One
56,Tokyo Mirage Sessions #FE,Wii U
57,The Way,PC
58,Trials of the Blood Dragon,PlayStation 4
59,Star Ocean: Integrity and Faithlessness,PlayStation 4
60,INSIDE,Xbox One
61,INSIDE,PlayStation 4
62,LEGO Star Wars: The Force Awakens,PlayStation 4
63,Umbrella Corps,PlayStation 4
64,The Solus Project,PC
65,Zero Escape: Zero Time Dilemma,3DS
66,Tom Clancy's The Division,Xbox One
67,Dead by Daylight,PC
68,Duskers,PC
69,Space Run Galaxy,PC
70,I Get This Call Every Day,PC
71,7th Dragon III Code: VFD,3DS
72,Asemblance,PlayStation 4
73,7 Days to Die,Xbox One
74,Song of the Deep,PlayStation 4
75,Furi,PlayStation 4
76,Breached,PC
77,Monster Hunter Generations,3DS
78,Pokemon GO,iOS (iPhone/iPad)
79,Pokemon GO,Android
80,Videoball,PC
81,Videoball,PlayStation 4
82,The Technomancer,PlayStation 4
83,Ghostbusters,PlayStation 4
84,Brigador,PC
85,I Am Setsuna,PlayStation 4
86,The Assembly,PC
87,Headlander,PlayStation 4
88,Quadrilateral Cowboy,PC
89,Necropolis,PC
90,God Eater Resurrection,PlayStation 4
91,Batman: The Telltale Series,PC
92,ABZU,PlayStation 4
93,ABZU,PC
94,This Is the Police,PC
95,Kentucky Route Zero,PC
96,No Man's Sky,PlayStation 4
97,Bound,PlayStation 4
98,Deus Ex GO,iOS (iPhone/iPad)
99,Deus Ex: Mankind Divided,PC
100,The King of Fighters XIV,PlayStation 4
101,Metroid Prime: Federation Force,3DS
102,Madden NFL 17,PlayStation 4
103,Madden NFL 17,Xbox One
104,Attack on Titan,PlayStation 4
105,JoJo's Bizarre Adventure: Eyes of Heaven,PlayStation 4
106,Alone With You,PlayStation 4
107,Alone With You,PlayStation Vita
108,Master of Orion,PC
109,Obduction,PC
110,Valley,PC
111,Valley,Xbox One
112,Valley,PlayStation 4
113,Grow Up,PlayStation 4
114,Mother Russia Bleeds,PC
115,F1 2016,PlayStation 4
116,Phoenix Wright: Ace Attorney - Spirit of Justice,3DS
117,NHL 17,Xbox One
118,NHL 17,PlayStation 4
119,The Final Station,PC
120,ReCore,Xbox One
121,The Tomorrow Children,PlayStation 4
122,Shin Megami Tensei IV: Apocalypse,3DS
123,Worms W.M.D,PC
124,Worms W.M.D,Xbox One
125,Pac-Man Championship Edition 2,PlayStation 4
126,Pac-Man Championship Edition 2,Xbox One
127,Pac-Man Championship Edition 2,PC
128,RIVE,PC
129,RIVE,PlayStation 4
130,Batman: The Telltale Series,PC
131,Forza Horizon 3,PC
132,Forza Horizon 3,Xbox One
133,God Eater 2,PlayStation 4
134,Pro Evolution Soccer 2017,PlayStation 4
135,NBA 2K17,PlayStation 4
136,Destiny,PlayStation 4
137,Destiny,Xbox One
138,FIFA 17,PlayStation 4
139,FIFA 17,Xbox One
140,World of Warcraft,PC
141,River City: Tokyo Rumble,3DS
142,Azure Striker Gunvolt 2,3DS
143,Sonic Boom: Fire & Ice,3DS
144,Batman: Arkham VR,PlayStation 4
145,PlayStation VR WORLDS,PlayStation 4
146,Thumper,PlayStation 4
147,SuperHyperCube,PlayStation 4
148,Until Dawn: Rush of Blood,PlayStation 4
149,Paper Mario: Color Splash,Wii U
150,Yo-Kai Watch 2,3DS
151,Gears of War 4,Xbox One
152,Battlezone,PlayStation 4
153,Rez,PlayStation 4
154,Atlas Reactor,PC
155,Giant Machines 2017,PC
156,Duke Nukem 3D: 20th Anniversary World Tour,PC
157,Mafia III,PlayStation 4
158,Mafia III,Xbox One
159,Mafia III,PC
160,Skylanders Imaginators,PlayStation 4
161,Shadow Warrior 2,PC
162,RIGS: Mechanized Combat League,PlayStation 4
163,Battlefield 1,PC
164,Battlefield 1,Xbox One
165,Battlefield 1,PlayStation 4
166,Eagle Flight,PC
167,WWE 2K17,PlayStation 4
168,The Silver Case,PC
169,100ft Robot Golf,PlayStation 4
170,Titanfall 2,PlayStation 4
171,Titanfall 2,Xbox One
172,Sid Meier's Civilization VI,PC
173,World of Final Fantasy,PlayStation 4
174,BUTCHER,PC
175,Dark Souls III,PlayStation 4
176,Dark Souls III,Xbox One
177,Dark Souls III,PC
178,Oceanhorn: Monster of Uncharted Seas,PlayStation 4
179,Owlboy,PC
180,Batman: The Telltale Series,PC
181,Call of Duty: Infinite Warfare,PC
182,Call of Duty: Infinite Warfare,Xbox One
183,Call of Duty: Infinite Warfare,PlayStation 4
