,Game Title,Publisher
0,Kerbal Space Program,Squad
1,Jotun,Thunder Lotus Games
2,Rise of the Tomb Raider,Square Enix
3,Rise of the Tomb Raider,Koch Media
4,Rise of the Tomb Raider,Microsoft Game Studios
5,XCOM 2,Feral Interactive
6,XCOM 2,2K Games
7,Ashes of the Singularity,Stardock
8,Severed,DrinkBox Studios
9,The Walking Dead: Michonne - A Telltale Miniseries,Telltale Games
10,Hitman,Square Enix
11,Hitman,Koch Media
12,Hitman,Sony Interactive Entertainment
13,P.O.L.L.E.N,Mindfield Games
14,Offworld Trading Company,Stardock
15,Offworld Trading Company,Kalypso
16,"Invisible, Inc.",Klei Entertainment
17,Uncharted 4: A Thief's End,SCEI
18,Uncharted 4: A Thief's End,SCEA
19,Uncharted 4: A Thief's End,SCE Australia
20,Uncharted 4: A Thief's End,SCEE
21,Uncharted 4: A Thief's End,Sony Interactive Entertainment
22,Chronos,Gunfire Games
23,Battleborn,2K Games
24,Galak-Z: The Dimensional,17 Bit
25,Alienation,SCEA
26,Alienation,Sony Interactive Entertainment
27,The Magic Circle,Question
28,Soft Body,Bodysoft
29,TASTEE: Lethal Tactics,SkyBox Labs
30,Stellaris,Paradox Interactive
31,Stellaris,Ikaron
32,DOOM,Bethesda Softworks
33,Homefront: The Revolution,Deep Silver
34,Homefront: The Revolution,Spike Chunsoft
35,Total War: WARHAMMER,Sega
36,Party Hard,Pinokl Games
37,Party Hard,tinyBuild
38,Shadow of the Beast,Sony Interactive Entertainment
39,Shadow of the Beast,SCEE
40,Shadow of the Beast,SCEI
41,Shadow of the Beast,SCEA
42,Hitman GO,Square Enix
43,Overwatch,Blizzard Entertainment
44,Overwatch,Square Enix
45,Overwatch,Activision
46,Fallout 4,Bethesda Softworks
47,Kirby: Planet Robobot,Nintendo
48,Teenage Mutant Ninja Turtles: Mutants in Manhattan,Activision
49,The Witcher 3: Wild Hunt,Warner Bros. Interactive Entertainment
50,The Witcher 3: Wild Hunt,CD Projekt RED S.A.
